City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Mbandaka,CD,2022-07-21 15:16:48,0.0487,18.2603,77.0,75,88,0.65
103,Kapaa,US,2022-07-21 15:16:48,22.0752,-159.319,75.18,92,100,11.5
104,Bundaberg,AU,2022-07-21 15:16:49,-24.85,152.35,63.21,99,100,6.91
105,Yuncheng,CN,2022-07-21 15:16:49,35.0231,110.9928,79.79,52,62,6.02
106,Hokitika,NZ,2022-07-21 15:16:50,-42.7167,170.9667,41.13,72,0,7.4
107,Roald,NO,2022-07-21 15:16:50,62.5833,6.1333,61.16,77,40,14.97
108,Honiara,SB,2022-07-21 15:16:51,-9.4333,159.95,76.71,84,21,4.14
109,Inuvik,CA,2022-07-21 15:15:33,68.3499,-133.7218,54.46,94,100,6.91
110,Tasiilaq,GL,2022-07-21 15:16:51,65.6145,-37.6368,39.36,71,97,4.18
111,Arklow,IE,2022-07-21 15:16:52,52.7931,-6.1414,64.08,68,78,5.57
112,Namibe,AO,2022-07-21 15:16:52,-15.1961,12.1522,68.56,69,1,9.84
113,Kavaratti,IN,2022-07-21 15:16:53,10.5669,72.642,81.07,82,99,21.07
114,Taoudenni,ML,2022-07-21 15:16:53,22.6783,-3.9836,107.83,17,13,8.72
115,Chuy,UY,2022-07-21 15:16:54,-33.6971,-53.4616,64.45,86,100,7.54
116,Ostrovnoy,RU,2022-07-21 15:16:54,68.0531,39.5131,56.55,76,52,4.85
117,Hilo,US,2022-07-21 15:16:55,19.7297,-155.09,73.27,99,58,1.99
118,College,US,2022-07-21 15:16:55,64.8569,-147.8028,56.23,75,75,0.0
119,Cape Town,ZA,2022-07-21 15:16:56,-33.9258,18.4232,61.27,71,37,4.0
120,Auki,SB,2022-07-21 15:16:56,-8.7676,160.7034,77.05,88,78,3.98
121,Oriximina,BR,2022-07-21 15:16:57,-1.7656,-55.8661,88.21,56,11,3.11
122,Davlekanovo,RU,2022-07-21 15:16:57,54.2215,55.0343,69.19,70,100,3.65
123,Codrington,AU,2022-07-21 15:16:58,-38.2667,141.9667,46.36,83,3,11.32
124,Byron Bay,AU,2022-07-21 15:16:58,-28.65,153.6167,58.95,74,100,20.09
